range,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"$1 under $1,000",1837978,1812110,1710663,1767390,1741077,1702446,1778915,1921736,1798994,1714732,1906448,1678733,1826986,1834463
"$1,000 under $3,000",5370910,4832988,4899842,4812040,4846314,4822499,4853415,4584860,4140267,4025516,4336767,4268877,4269679,4125776
"$3,000 under $5,000",5383155,5163776,5087124,5091014,4889025,5108425,5298422,5132110,4508373,4223517,4449624,4430573,4511447,4302270
"$5,000 under $7,000",4954876,5019326,5064951,4789612,4878808,4780363,4839365,4917905,4622720,4618933,4599533,4503197,4503291,4462987
"$7,000 under $9,000",4975444,4977282,5103627,5010688,4850757,4776483,4965014,4906493,5023663,4927573,4960818,4646888,4635627,4549641
"$9,000 under $11,000",4903020,5061799,4972862,4813678,4745452,4458082,4650047,4539648,5011582,5240668,5401338,5310123,5505416,5253631
"$11,000 under $13,000",4666912,4748173,4644450,4619552,4742849,4869072,4814494,4828287,5034759,5212276,5276106,4995707,4754979,4713193
"$13,000 under $15,000",4757038,4808347,4719522,4558080,4532055,4614426,4760384,4649361,4972124,5084753,5074752,5134413,5134420,5100533
"$15,000 under $17,000",4655768,4632156,4655029,4598321,4611777,4516328,4546141,4477339,4701539,4859833,5093899,4928414,4847856,4650726
"$17,000 under $19,000",4688595,4508626,4459546,4504928,4367978,4343217,4344997,4434590,4553363,4667804,4539542,4492527,4599396,4557098
"$19,000 under $22,000",6379736,6522571,6318493,6160471,6288654,6054724,6326768,6224385,6336982,6419566,6488413,6486204,6396436,6198258
"$22,000 under $25,000",5724238,5650213,5692051,5722762,5642356,5935685,5807690,5805936,5842230,5960806,5968911,5877063,5903133,5987118
"$25,000 under $30,000",8563035,8574575,8541753,8512113,8738106,8749761,9005337,8743580,8662393,8950076,8987613,8734480,8809515,8818876
"$30,000 under $40,000",13843639,13980104,13957258,13915453,13940404,14151823,14740807,14554279,14371648,14613295,14520080,14451152,14473606,14599675
"$40,000 under $50,000",10612617,10550457,10452445,10571409,10618507,10687193,11150798,11087123,10796412,10992023,10983973,10873672,11279394,11472714
"$50,000 under $75,000",17559778,17396916,17372492,18047126,18351037,18854917,19450744,19196461,18694893,18727169,18949278,18985371,19229309,19394648
"$75,000 under $100,000",8903894,9247839,9542599,10119515,10449989,11140408,11744132,11729485,11463725,11805382,11926401,12103891,12574107,12825769
"$100,000 under $200,000",8469199,8422603,8878643,9735569,10810367,12088423,13457876,13851341,13522048,13997651,14755766,15646648,16425446,17501251
"$200,000 under $500,000",2018372,1908466,1999016,2348163,2737802,3121485,3492353,3476747,3195039,3471722,3801641,4154112,4488110,4978534
"$500,000 under $1,000,000",355617,336684,356140,433145,524506,589306,651049,577618,492567,544224,597525,705029,724251,834981
"$1,000,000 under $1,500,000",85479,78121,81695,103964,127925,150431,166362,140635,108096,126941,134907,169413,156269,180446
"$1,500,000 under $2,000,000",36491,31316,34016,45104,56615,64007,70733,59460,44273,51550,55986,71874,64235,77065
"$2,000,000 under $5,000,000",52157,44205,48278,65548,84070,98724,108641,86329,61918,73078,79363,106711,91128,109475
"$5,000,000 under $10,000,000",12266,10026,11168,15835,21431,24975,28090,21390,14322,17527,19189,27167,21412,26579
"$10,000,000 or more ",6836,5309,6126,9677,13776,15956,18394,13480,8274,11264,11445,17685,12839,16733
